case_group,n,final_accuracy_mean,final_accuracy_std,final_f1_mean,final_f1_std,avg_accuracy_mean,avg_accuracy_std,avg_f1_mean,avg_f1_std,avg_free_energy_mean,avg_free_energy_std,weight_suppression_ratio_mean,weight_suppression_ratio_std,vfe_malicious_auroc_mean,vfe_malicious_auroc_std,final_communication_mb_mean,final_communication_mb_std,avg_communication_mb_mean,avg_communication_mb_std,final_avg_forward_ms_mean,final_avg_forward_ms_std,avg_forward_ms_mean,avg_forward_ms_std,final_upload_serialize_ms_mean,final_upload_serialize_ms_std,avg_upload_serialize_ms_mean,avg_upload_serialize_ms_std,final_weight_compute_ms_mean,final_weight_compute_ms_std,avg_weight_compute_ms_mean,avg_weight_compute_ms_std,final_aggregate_ms_mean,final_aggregate_ms_std,avg_aggregate_ms_mean,avg_aggregate_ms_std
poison_strength_0p0,3,0.25,0.25,0.16666666666666666,0.14433756729740643,0.18333333333333335,0.028867513459481298,0.15,0.05,1.7709011554718017,0.0634925874030441,0.9741544809798011,0.13109720074657888,0.4488888888888889,0.49032113437502856,0.007519721984863281,0.0,0.007519721984863281,0.0,1113.3163757622242,346.89608236151497,1087.813221779652,120.51441538226513,2.3645980594058833,0.5559305519893916,2.634650468826294,0.3117693116884776,0.3756963027020295,0.08581950744656021,0.32025938853621483,0.040598841691694754,0.5701637516419092,0.07493503481568707,2.690923369179169,0.48073487897843986
poison_strength_12p0,3,0.25,0.25,0.16666666666666666,0.14433756729740643,0.18333333333333335,0.028867513459481298,0.15,0.05,2.219073286652565,0.24989758427116654,8.36121827818658,7.115627280088403,0.8,0.2,0.007519721984863281,0.0,0.007519721984863281,0.0,1014.4347897730768,160.49269321635836,1084.6250418496008,83.79562229291544,1.9478580603996913,0.04223615526203919,2.4297308487196765,0.2700284047402262,0.2824729308485985,0.055754182394344994,0.30252539242307347,0.039405978961302934,0.5150272821386656,0.03733777155825723,2.552859950810671,0.4790007002316835
poison_strength_2p0,3,0.25,0.25,0.16666666666666666,0.14433756729740643,0.18333333333333335,0.028867513459481298,0.15,0.05,1.7815675338109334,0.09260478161659885,0.9698351581535212,0.3556820404444582,0.5777777777777778,0.22679734794974354,0.007519721984863281,0.0,0.007519721984863281,0.0,995.1488530884186,49.34052922483086,1108.4739270930488,90.97489954614616,1.9945997434357803,0.23737987384108414,2.654305069396893,0.44792035221170273,0.35804184153676033,0.10707241945199257,0.3508183794716994,0.049101652929869545,0.49606943503022194,0.03494951404534492,2.5082722616692386,0.2508108372272415
poison_strength_5p0,3,0.25,0.25,0.16666666666666666,0.14433756729740643,0.18333333333333335,0.028867513459481298,0.15,0.05,1.84784201780955,0.13923222700127397,1.325320527339794,0.8684227492948517,0.8,0.2,0.007519721984863281,0.0,0.007519721984863281,0.0,1137.7310602692887,218.68627240372726,1080.8383414133762,32.325577154302096,1.9039980446298916,0.21788447777404552,2.4488834043343863,0.17036814701677164,0.29913320516546565,0.08143521557857615,0.31752145538727444,0.027668586926711567,0.4732209878663222,0.024797474850095185,2.650228856752316,0.1680947240224615
poison_strength_8p0,3,0.25,0.25,0.16666666666666666,0.14433756729740643,0.18333333333333335,0.028867513459481298,0.15,0.05,1.9789161831140518,0.18691475522063822,2.5521887774527894,2.011691305122388,0.8,0.2,0.007519721984863281,0.0,0.007519721984863281,0.0,1037.1281092520803,27.622783665134794,1235.5011046941702,110.71085605341236,2.0188364821175733,0.3121029319715229,2.810907984773318,0.13500738909963766,0.29794173315167427,0.07157252259267152,0.3609435632824898,0.031406294379356575,0.5440227687358856,0.0958902245677341,3.3804097523291907,0.42762479406554127
