case_group,n,final_accuracy_mean,final_accuracy_std,final_f1_mean,final_f1_std,avg_accuracy_mean,avg_accuracy_std,avg_f1_mean,avg_f1_std,avg_free_energy_mean,avg_free_energy_std,weight_suppression_ratio_mean,weight_suppression_ratio_std,vfe_malicious_auroc_mean,vfe_malicious_auroc_std,final_communication_mb_mean,final_communication_mb_std,avg_communication_mb_mean,avg_communication_mb_std,final_avg_forward_ms_mean,final_avg_forward_ms_std,avg_forward_ms_mean,avg_forward_ms_std,final_upload_serialize_ms_mean,final_upload_serialize_ms_std,avg_upload_serialize_ms_mean,avg_upload_serialize_ms_std,final_weight_compute_ms_mean,final_weight_compute_ms_std,avg_weight_compute_ms_mean,avg_weight_compute_ms_std,final_aggregate_ms_mean,final_aggregate_ms_std,avg_aggregate_ms_mean,avg_aggregate_ms_std
iid_benign,4,0.125,0.25,0.0,0.0,0.15,0.12909944487358055,0.0,0.0,1.8146618738770486,0.08998414051122251,0.0,0.0,,,0.006767749786376953,0.0015039443969726562,0.006767749786376953,0.0015039443969726562,1060.3590489190537,92.06511833038549,1028.8543267990462,61.53547879802517,2.1079802536405623,0.37565370549999244,2.4841471924446523,0.05314430360711828,0.27274759486317635,0.07421645293521459,0.2885431284084916,0.051507174957628084,8.583207672927529,0.6529668056750575,8.693792240228504,0.7909447468458626
iid_malicious,4,0.125,0.14433756729740643,0.3125,0.125,0.19999999999999998,0.15811388300841897,0.275,0.15545631755148026,1.945983999967575,0.1823313259537008,1.8303070801426817,0.3224979663271719,0.9,0.2,0.006767749786376953,0.0015039443969726562,0.006767749786376953,0.0015039443969726562,947.5477381492965,63.32968865003609,1023.0779231060296,120.51853959131755,1.9198445370420814,0.4266645930523205,2.26772865280509,0.37539485621092794,0.26519695529714227,0.0913357775020156,0.2734991139732301,0.0813799807587953,4.277855099644512,3.928844180762993,7.908278831746429,1.0050085997121316
malratio_0p0,3,0.25,0.25,0.0,0.0,0.21666666666666667,0.05773502691896258,0.0,0.0,1.7777932683626811,0.07829674746712414,0.0,0.0,,,0.007519721984863281,0.0,0.007519721984863281,0.0,1141.1133268848062,136.03571047757276,1069.0967329234506,110.22485291969825,1.9684749034543831,0.2195211124270755,2.5897407283385596,0.1650373933876593,0.2674463515480359,0.03611460836919537,0.32284588863452274,0.027714539618402395,0.5213185213506222,0.06421764687796563,2.902250209202369,0.41487551554960117
malratio_0p1,3,0.25,0.25,0.0,0.0,0.21666666666666667,0.05773502691896258,0.0,0.0,1.7777932683626811,0.07829674746712414,0.0,0.0,,,0.007519721984863281,0.0,0.007519721984863281,0.0,1070.953960918511,190.24583816453654,1057.457051278713,157.33613835877577,1.824524098386367,0.10824471114364408,2.436579608668884,0.20269812457217945,0.24615398918588957,0.03848455590485077,0.3052352617184321,0.020994619627853425,0.480158564945062,0.020678001519848856,2.6514724517862,0.3746529466582135
malratio_0p2,3,0.25,0.25,0.16666666666666666,0.14433756729740643,0.18333333333333335,0.028867513459481298,0.15,0.05,1.84784201780955,0.13923222700127397,1.325320527339794,0.8684227492948517,0.8,0.2,0.007519721984863281,0.0,0.007519721984863281,0.0,975.661449910452,14.231155608422213,1106.6880624663706,95.07981000764386,1.907035397986571,0.5426727986989938,2.483758827050527,0.1372420331271983,0.2845693379640579,0.05694005176791835,0.32585378115375835,0.032302248265191846,0.514770857989788,0.1486659512875673,2.6166955629984536,0.10116032963507612
malratio_0p3,3,0.25,0.25,0.16666666666666666,0.14433756729740643,0.18333333333333335,0.028867513459481298,0.15,0.05,1.84784201780955,0.13923222700127397,1.325320527339794,0.8684227492948517,0.8,0.2,0.007519721984863281,0.0,0.007519721984863281,0.0,900.2672925125808,40.57181310828758,1008.5207086211691,60.65886604839962,1.80659427617987,0.09524954724608471,2.461154107004404,0.5084095587620069,0.24162869279583296,0.0400724480084996,0.29362527032693225,0.04954046305307933,0.4784980167945226,0.020629129551324045,2.914830887069305,0.9048235429882323
malratio_0p4,3,0.3333333333333333,0.14433756729740643,0.3333333333333333,0.14433756729740643,0.25,0.0,0.3333333333333333,0.10408329997330665,1.8656321545441945,0.21707770713792876,0.8886496728525729,0.4829113188261414,0.7666666666666666,0.2081665999466133,0.007519721984863281,0.0,0.007519721984863281,0.0,1061.8003962251048,156.0431257908493,1184.8503343605746,73.19456807873404,1.6781544933716457,0.23464810391942315,2.3778543497125306,0.247178161922191,0.25113392621278763,0.027916429892898966,0.31758006662130356,0.01970412376882231,0.45145101224382717,0.06544275702266844,2.4686883514126143,0.2445110680615056
malratio_0p5,3,0.3333333333333333,0.14433756729740643,0.3333333333333333,0.14433756729740643,0.25,0.0,0.3333333333333333,0.10408329997330665,1.8656321545441945,0.21707770713792876,0.8886496728525729,0.4829113188261414,0.7666666666666666,0.2081665999466133,0.007519721984863281,0.0,0.007519721984863281,0.0,1100.7691295041393,348.2258227788646,1137.768081148776,41.0389712855052,2.013450643668572,0.41872140559988047,2.530105380962292,0.2186033265865464,0.31449971720576286,0.13267482240564105,0.3168501580754916,0.04156575626132902,0.6020224342743555,0.10369454240381759,2.8105587077637515,0.14024907263761272
noniid_benign,4,0.1875,0.23935677693908453,0.0,0.0,0.1625,0.11814539065631521,0.0,0.0,1.815677434206009,0.09913506205777792,0.0,0.0,,,0.006767749786376953,0.0015039443969726562,0.006767749786376953,0.0015039443969726562,1015.0080504536163,193.0536541731212,990.8419565937947,214.75018625167723,1.9042486092075706,0.5369174040594864,2.377298567444086,0.5070231820965576,0.23154000518843532,0.03913953766519156,0.2744768629781902,0.08288656497730656,6.45160349085927,3.220662983758875,6.884194351732731,1.2559291159449781
noniid_malicious,4,0.3125,0.23935677693908453,0.25,0.2041241452319315,0.2625,0.16007810593582122,0.2375,0.1796988221070652,1.9610241055488586,0.25330709023621334,1.4647093562846836,0.7618983069940479,0.85,0.19148542155126763,0.006767749786376953,0.0015039443969726562,0.006767749786376953,0.0015039443969726562,1042.9293694032822,204.66514184940692,1045.3525226796046,144.87370802716845,2.0947081502527,0.1786571124446505,2.6170956203714013,0.2290833277156998,0.2545599127188325,0.05169892681141501,0.3030025167390704,0.07665428646877391,6.273286242503673,3.92089946098816,7.297307101543993,2.402393744122891
