case_group,n,final_accuracy_mean,final_accuracy_std,final_f1_mean,final_f1_std,avg_accuracy_mean,avg_accuracy_std,avg_f1_mean,avg_f1_std,avg_free_energy_mean,avg_free_energy_std,weight_suppression_ratio_mean,weight_suppression_ratio_std,vfe_malicious_auroc_mean,vfe_malicious_auroc_std,final_communication_mb_mean,final_communication_mb_std,avg_communication_mb_mean,avg_communication_mb_std,final_avg_forward_ms_mean,final_avg_forward_ms_std,avg_forward_ms_mean,avg_forward_ms_std,final_upload_serialize_ms_mean,final_upload_serialize_ms_std,avg_upload_serialize_ms_mean,avg_upload_serialize_ms_std,final_weight_compute_ms_mean,final_weight_compute_ms_std,avg_weight_compute_ms_mean,avg_weight_compute_ms_std,final_aggregate_ms_mean,final_aggregate_ms_std,avg_aggregate_ms_mean,avg_aggregate_ms_std
malratio_0p0,3,0.25,0.25,0.0,0.0,0.21666666666666667,0.05773502691896258,0.0,0.0,1.7777932683626811,0.07829674746712414,0.0,0.0,,,0.007519721984863281,0.0,0.007519721984863281,0.0,1141.1133268848062,136.03571047757276,1069.0967329234506,110.22485291969825,1.9684749034543831,0.2195211124270755,2.5897407283385596,0.1650373933876593,0.2674463515480359,0.03611460836919537,0.32284588863452274,0.027714539618402395,0.5213185213506222,0.06421764687796563,2.902250209202369,0.41487551554960117
malratio_0p1,3,0.25,0.25,0.0,0.0,0.21666666666666667,0.05773502691896258,0.0,0.0,1.7777932683626811,0.07829674746712414,0.0,0.0,,,0.007519721984863281,0.0,0.007519721984863281,0.0,1070.953960918511,190.24583816453654,1057.457051278713,157.33613835877577,1.824524098386367,0.10824471114364408,2.436579608668884,0.20269812457217945,0.24615398918588957,0.03848455590485077,0.3052352617184321,0.020994619627853425,0.480158564945062,0.020678001519848856,2.6514724517862,0.3746529466582135
malratio_0p2,3,0.25,0.25,0.16666666666666666,0.14433756729740643,0.18333333333333335,0.028867513459481298,0.15,0.05,1.84784201780955,0.13923222700127397,1.325320527339794,0.8684227492948517,0.8,0.2,0.007519721984863281,0.0,0.007519721984863281,0.0,975.661449910452,14.231155608422213,1106.6880624663706,95.07981000764386,1.907035397986571,0.5426727986989938,2.483758827050527,0.1372420331271983,0.2845693379640579,0.05694005176791835,0.32585378115375835,0.032302248265191846,0.514770857989788,0.1486659512875673,2.6166955629984536,0.10116032963507612
malratio_0p3,3,0.25,0.25,0.16666666666666666,0.14433756729740643,0.18333333333333335,0.028867513459481298,0.15,0.05,1.84784201780955,0.13923222700127397,1.325320527339794,0.8684227492948517,0.8,0.2,0.007519721984863281,0.0,0.007519721984863281,0.0,900.2672925125808,40.57181310828758,1008.5207086211691,60.65886604839962,1.80659427617987,0.09524954724608471,2.461154107004404,0.5084095587620069,0.24162869279583296,0.0400724480084996,0.29362527032693225,0.04954046305307933,0.4784980167945226,0.020629129551324045,2.914830887069305,0.9048235429882323
malratio_0p4,3,0.3333333333333333,0.14433756729740643,0.3333333333333333,0.14433756729740643,0.25,0.0,0.3333333333333333,0.10408329997330665,1.8656321545441945,0.21707770713792876,0.8886496728525729,0.4829113188261414,0.7666666666666666,0.2081665999466133,0.007519721984863281,0.0,0.007519721984863281,0.0,1061.8003962251048,156.0431257908493,1184.8503343605746,73.19456807873404,1.6781544933716457,0.23464810391942315,2.3778543497125306,0.247178161922191,0.25113392621278763,0.027916429892898966,0.31758006662130356,0.01970412376882231,0.45145101224382717,0.06544275702266844,2.4686883514126143,0.2445110680615056
malratio_0p5,3,0.3333333333333333,0.14433756729740643,0.3333333333333333,0.14433756729740643,0.25,0.0,0.3333333333333333,0.10408329997330665,1.8656321545441945,0.21707770713792876,0.8886496728525729,0.4829113188261414,0.7666666666666666,0.2081665999466133,0.007519721984863281,0.0,0.007519721984863281,0.0,1100.7691295041393,348.2258227788646,1137.768081148776,41.0389712855052,2.013450643668572,0.41872140559988047,2.530105380962292,0.2186033265865464,0.31449971720576286,0.13267482240564105,0.3168501580754916,0.04156575626132902,0.6020224342743555,0.10369454240381759,2.8105587077637515,0.14024907263761272
